Steuerart;Ertragshoheit; Einnahmen Januar 2026 (T EUR);Einnahmen bis Januar 2026 (T EUR)
Lohnsteuer;Landesanteil an den Gemeinschaftsteuern;556.570;556.570
Veranlagte Einkommensteuer;Landesanteil an den Gemeinschaftsteuern;42.663;42.663
Nicht veranlagte Steuer vom Ertrag;Landesanteil an den Gemeinschaftsteuern;47.568;47.568
Abgeltungsteuer auf Zins.- u. Veräußerungserträge;Landesanteil an den Gemeinschaftsteuern;-16.477;-16.477
Körperschaftsteuer                   ;Landesanteil an den Gemeinschaftsteuern;-63.256;-63.256
Mindeststeuer;Landesanteil an den Gemeinschaftsteuern;0;0
Umsatzsteuer ;Landesanteil an den Gemeinschaftsteuern;907.638;907.638
Einfuhr-Umsatzsteuer;Landesanteil an den Gemeinschaftsteuern;133.967;133.967
Gewerbesteuerumlage Land;Landesanteil an den Gemeinschaftsteuern;0;0
Vermögensteuer;Landessteuern;0;0
Erbschaftsteuer;Landessteuern;38.611;38.611
Grunderwerbsteuer;Landessteuern;117.576;117.576
Rennwett- und Lotteriesteuer;Landessteuern;5.698;5.698
Biersteuer;Landessteuern;874;874
Feuerschutzsteuer;Landessteuern;1.230;1.230
Grundsteuer;Gemeindesteuern;6.224;6.224
Gewerbesteuer;Gemeindesteuern;197.631;197.631
Gewerbesteuerumlage Gesamt;Gemeindesteuern;0;0
Vergnügungsteuer;Gemeindesteuern;2.868;2.868
Hundesteuer;Gemeindesteuern;631;631
Zweitwohnungsteuer;Gemeindesteuern;728;728
Übernachtungsteuer;Gemeindesteuern;11.089;11.089
Umsatzsteuer;Gemeindeanteile an Gemeinschaftsteuern;39.734;39.734
Lohn- und Einkommensteuer;Gemeindeanteile an Gemeinschaftsteuern;211.494;211.494
Abgeltungsteuer auf Zins.-u.V.erträge;Gemeindeanteile an Gemeinschaftsteuern;-4.494;-4.494
